Name	Latitude	Longitude	City	State
Central Methodist College	39.1489094	-92.6840726	Fayette	MO
Central Michigan University	43.5819086	-84.7756364	Mt Pleasant	MI
Central Washington University	47.0073154	-120.5362805	Ellensburg	WA
Centre College	37.6457165	-84.779061	Danville	KY
Chadron State College	42.8201103	-102.9965438	Chadron	NE
Champlain College	44.4731165	-73.2041352	Burlington	VT
Chapman University	33.7932062	-117.8536685	Orange	CA
Chatham College	40.4486611	-79.92407279999999	Pittsburgh	PA
Chesapeake College	39.0455212	-76.0662502	Centreville	MD
Cheyney University	39.933361	-75.5294669	PA
Christian Brothers University	35.1284532	-89.9812503	Memphis	TN
Christian Theological Seminary	39.8331938	-86.17834169999999	Indianapolis	IN
Christopher Newport University	37.0642445	-76.4936031	Newport News	VA
The Citadel	32.7973082	-79.9596641	Charleston	SC
City University	40.7383471	-73.9772112	New York	NY
City University of New York	40.7383471	-73.9772112	New York	NY
Clarion University of Pennsylvania	41.2089367	-79.37856310000001	Clarion	PA
Clark University	42.2518673	-71.8238049	Worcester	MA
Clarke College	42.5091288	-90.690021	Dubuque	IA
Clarkson University	42.813897	-73.93420200000001	Schenectady	NY
Clemson University	34.6738437	-82.8368654	Clemson	SC
Cleveland State University	41.5027643	-81.67442299999999	Cleveland	OH
Coastal Carolina University	33.7965964	-79.01336119999999	Conway	SC
Coe College	41.98844090000001	-91.65897969999999	Cedar Rapids	IA
Coker College	34.3765882	-80.0704915	Hartsville	SC
Colby College	44.5638691	-69.6626362	Waterville	ME
Colgate University	42.822465	-75.541671	Hamilton	NY
College of the Atlantic	44.394424	-68.2225669	Bar Harbor	ME
College of Charleston	32.7834441	-79.93700179999999	Charleston	SC
College of Eastern Utah	39.607914	-110.8039829	Price	UT
College of the Holy Cross	42.2392391	-71.8079608	Worcester	MA
College of Saint Benedict	45.5796783	-94.3944417	Collegeville	MN
College of Saint Catherine	44.9247103	-93.1821902	St Paul	MN
College of St. Francis	41.5332096	-88.09758579999999	Joliet	IL
College of Saint Rose	42.6640994	-73.78566529999999	Albany	NY
College of St. Scholastica	44.0207898	-92.46469499999999	Rochester	MN
College of William and Mary	37.2710803	-76.71628910000001	Williamsburg	VA
The College of Wooster	40.8111688	-81.9296545	Wooster	OH
Colorado Christian University	39.7131047	-105.0959323	Lakewood	CO
Colorado State University	40.57341479999999	-105.0865487	Fort Collins	CO
Columbia College Chicago	41.8742327	-87.62483379999999	Chicago	IL
Columbia Southern University	30.3292553	-87.6530263	Orange Beach	AL
Columbia University	40.8075355	-73.9625727	New York	NY
Concordia College-Moorhead	46.8628042	-96.7700579	Moorhead	MN
Concordia College-St. Paul	44.9497911	-93.15648530000001	St Paul	MN
Connecticut College	41.3797568	-72.10434289999999	New London	CT
The Cooper Union for the Advancement of Science and Art	40.7280822	-73.99160859999999	New York	NY
Cornell University	42.4534492	-76.4735027	Ithaca	NY
Creighton University	41.2655521	-95.94638619999999	Omaha	NE
Curry College	42.2347717	-71.1133499	Milton	MA
Daemen College	42.9658203	-78.7879935	Amherst	NY
Dakota State University	44.0126125	-97.1103618	Madison	SD
Dakota Wesleyan University	43.697665	-98.03122	Mitchell	SD
Dallas Baptist University	32.7100766	-96.94698280000001	Dallas	TX
Dartmouth College	43.7044406	-72.2886935	Hanover	NH
Davenport College Detroit College of Business	42.36967360000001	-83.07607019999999	Detroit	MI
Davidson College	35.5008018	-80.8446725	Davidson	NC
Denison University	40.0734008	-82.52290479999999	Granville	OH
DePaul University	41.877575	-87.6272176	Chicago	IL
DePauw University	39.6392814	-86.8634368	Greencastle	IN
DeVry Institute of Technology-Dallas	32.9345926	-97.0124653	Irving	TX
Dickinson College	40.2027462	-77.2008334	Carlisle	PA
Dillard University	29.9966395	-90.0662662	New Orleans	LA
Dominican College	41.0471959	-73.9505947	Orangeburg	NY
Dordt College	43.0824829	-96.16636079999999	Sioux Center	IA
Drake University	41.6030995	-93.6546481	Des Moines	IA
Drew University	40.7607334	-74.4273592	Madison	NJ
Drexel University	39.9566127	-75.18994409999999	Philadelphia	PA
Drury College	37.2199202	-93.2859409	Springfield	MO
Duke University	36.0014258	-78.9382286	Durham	NC
Duquesne University	40.4367914	-79.989232	Pittsburgh	PA
Earlham College	39.823941	-84.913241	Richmond	IN
East Carolina University	35.6068806	-77.3665364	Greenville	NC
East Central University	34.7728989	-96.65981839999999	Ada	OK
East Stroudsburg State University of Pennsylvania	40.9974693	-75.1727074	East Stroudsburg	PA
East Texas State University	33.2406645	-95.91041489999999	Commerce	TX
Eastern Illinois University	39.4780295	-88.175905	Charleston	IL
Eastern Kentucky University	37.7353214	-84.298672	Richmond	KY
Eastern Mennonite University	38.4724719	-78.8775142	Harrisonburg	VA
Eastern Michigan University	42.2506803	-83.624089	Ypsilanti	MI
Eastern New Mexico University	34.1775401	-103.3477839	Portales	NM
Eastern Washington University	47.4910283	-117.5862361	Cheney	WA
Edgewood College	43.060689	-89.423378	Madison	WI
Edinboro University of Pennsylvania	41.871572	-80.12080279999999	Edinboro	PA
Elizabeth City State University	36.281065	-76.2139598	Elizabeth City	NC
Elizabethtown College	40.14932990000001	-76.58968349999999	Elizabethtown	PA
Elmhurst College	41.8969908	-87.9471446	Elmhurst	IL
Elon College	36.1026877	-79.5023313	Elon	NC
Embry-Riddle Aeronautical UniversityArizona	34.6172162	-112.450526	Prescott	AZ
Embry-Riddle Aeronautical UniversityFlorida	29.1917101	-81.05010899999999	Daytona Beach	FL
Emerson College	42.3523259	-71.06540369999999	Boston	MA
Emmanuel College	42.3406284	-71.10285809999999	Boston	MA
Emporia State University	38.4162018	-96.1792715	Emporia	KS
Emory University	33.7971368	-84.32224	Atlanta	GA
Evergreen State College	47.073073	-122.9739919	Olympia	WA
Fairleigh Dickinson University	40.8980104	-74.03066330000001	Teaneck	NJ
Ferris State University	43.6839617	-85.4852488	Big Rapids	MI
Fielding Institute	34.4292763	-119.717472	Santa Barbara	CA
Fisk University	36.167332	-86.8035531	Nashville	TN
Florida Agricultural and Mechanical University	30.4268567	-84.2851312	Tallahassee	FL
Florida Atlantic University	26.3749876	-80.10106329999999	Boca Raton	FL
Florida Gulf Coast University	26.4637116	-81.7752618	Fort Myers	FL
Florida Institute of Technology	28.0646888	-80.62302199999999	Melbourne	FL
Florida International University	25.7561275	-80.3768786	Miami	FL
Florida State University	30.4418778	-84.2984889	Tallahassee	FL
Fontbonne College	38.641545	-90.315891	St. Louis	MO
Fordham University	40.8620404	-73.88569869999999	NY
Fort Hays State University	38.8714463	-99.3444887	Hays	KS
Fort Lewis College	37.275472	-107.8669339	Durango	CO
Franklin and Marshall College	40.0479413	-76.320229	Lancaster	PA
Franklin University	39.9583587	-82.99034069999999	Columbus	OH
Fresno Pacific University	36.7268898	-119.7341818	Fresno	CA
Friends University	37.6777089	-97.3666702	Wichita	KS
Fuller Theological Seminary	34.1482032	-118.1404425	Pasadena	CA
Furman University	34.9260157	-82.44007239999999	Greenville	SC
Gallaudet University	38.908422	-76.99238749999999	Washington	DC
Gannon University	42.1282555	-80.0867478	Erie	PA
Geneva College	40.7728309	-80.3211589	Beaver Falls	PA
George Mason University	38.8298118	-77.3073606	Fairfax	VA
Georgetown University	38.9076089	-77.07225849999999	Washington	DC
Georgia Institute of Technology	33.7756178	-84.39628499999999	Atlanta	GA
Georgia State University	33.753068	-84.38528190000001	Atlanta	GA
Georgian Court College	40.0997898	-74.2274498	Lakewood	NJ
Gettysburg College	39.8356944	-77.2356339	Gettysburg	PA
GMI Engineering and Management Institute	43.0120017	-83.7128817	Flint	MI
Golden Gate University	37.7893349	-122.3988242	SF	CA
Gonzaga University	47.66703210000001	-117.4014343	Spokane	WA
Goshen College	41.5637669	-85.8280851	Goshen	IN
Goucher College	39.40888899999999	-76.5923984	Baltimore	MD
Governors State University	41.44834040000001	-87.716144	University Park	IL
Grace College	41.2262591	-85.8178239	Winona Lake	IN
Graceland College	40.6162801	-93.9252899	Lamoni	IA
Grand Valley State University	42.9641221	-85.8890404	MI
Greenleaf University	36.0038057	-78.9387256	Durham	NC
Guilford College	36.0917988	-79.88873989999999	Greensboro	NC
Gustavus Adolphus College	44.3241738	-93.97602049999999	St Peter	MN
Hamline University	44.9656861	-93.1650999	St Paul	MN
Hampden-Sydney College	37.2412293	-78.46274489999999	Hampden Sydney	VA
Hampshire College	42.3256097	-72.5312799	Amherst	MA
Hanover College	38.7145868	-85.4597594	Hanover	IN
Harding University	35.245152	-91.7235465	Searcy	AR
Hartwick College	42.4586674	-75.0718461	Oneonta	NY
Harvard University	42.3770029	-71.11666009999999	Cambridge	MA
Harvey Mudd College	34.1060906	-117.7086431	Claremont	CA
Haskell Indian Nations University	38.938797	-95.2328993	Lawrence	KS
Hastings College	40.59067050000001	-98.3745939	Hastings	NE
Haverford College in Pennsylvania	40.00932419999999	-75.3076619	Haverford	PA
Hawaii Pacific University	21.3067033	-157.8654012	Honolulu	HI
Heidelberg College	41.1163289	-83.16806439999999	Tiffin	OH
Hendrix College	35.0995323	-92.44067729999999	Conway	AR
Hesston College	38.1345492	-97.43390099999999	Hesston	KS
High Point University	35.9721829	-79.99517000000002	High Point	NC
Hillsdale College	41.9325759	-84.63067219999999	Hillsdale	MI
Hiram College	41.310732	-81.143953	Hiram	OH
Hobart and William Smith Colleges	42.8572633	-76.987228	Geneva	NY
Hofstra University	40.7166872	-73.5993965	Hempstead	NY
Hollins College	37.3566761	-79.9428447	Roanoke	VA
Holy Cross College	41.7000923	-86.2537078	Notre Dame	IN
Hood College	39.4227365	-77.4187592	Frederick	MD
Hope College	42.7875308	-86.1026663	Holland	MI
Howard University	38.9226843	-77.0194377	Washington	DC
Humboldt State University	40.8747332	-124.0789268	Arcata	CA
